companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Nuveen S&P 500 Dynamic Overwrite Fund,SPXX,12/14/2022,12/30/2022,12/15/2022,0.294,1.176,12/01/2022
Nuveen Taxable Municipal Income Fund,NBB,12/14/2022,12/30/2022,12/15/2022,0.093,1.254,12/01/2022
NXP Semiconductors N.V.,NXPI,12/14/2022,01/06/2023,12/15/2022,0.845,3.38,11/16/2022
NexPoint Diversified Real Estate Trust,NXDT,12/14/2022,12/30/2022,12/15/2022,0.15,0.65,10/25/2022
Oaktree Specialty Lending Corporation,OCSL,12/14/2022,12/30/2022,12/15/2022,0.32,0.72,11/15/2022
Ovintiv Inc.,OVV,12/14/2022,12/30/2022,12/15/2022,0.25,1.0,11/08/2022
Paramount Global,PARAA,12/14/2022,01/03/2023,12/15/2022,0.24,0.96,09/21/2022
Paramount Global,PARA,12/14/2022,01/03/2023,12/15/2022,0.24,0.96,09/21/2022
Pembina Pipeline Corp.,PBA,12/14/2022,12/30/2022,12/15/2022,0.162,1.946,N/A
"Phillips Edison & Company, Inc.",PECO,12/14/2022,N/A,12/15/2022,0.093,1.12,N/A
PIMCO California Municipal Income Fund,PCQ,12/14/2022,12/22/2022,12/15/2022,0.018,0.798,12/05/2022
PIMCO Dynamic Income Fund,PDI,12/14/2022,12/22/2022,12/15/2022,0.65,2.646,12/05/2022
PIMCO Dynamic Income Opportunities Fund,PDO,12/14/2022,12/22/2022,12/15/2022,0.96,1.478,12/05/2022
Pimco Corporate & Income Opportunity Fund,PTY,12/14/2022,12/22/2022,12/15/2022,0.15,1.426,12/05/2022
Pimco Corporate & Income Stategy Fund,PCN,12/14/2022,12/22/2022,12/15/2022,0.15,1.35,12/05/2022
PIMCO Access Income Fund,PAXS,12/14/2022,12/22/2022,12/15/2022,0.52,1.298,12/05/2022
Principal Real Estate Income Fund,PGZ,12/14/2022,12/30/2022,12/15/2022,0.105,1.315,10/03/2022
"Prosperity Bancshares, Inc.",PB,12/14/2022,01/03/2023,12/15/2022,0.55,2.2,10/19/2022
Range Resources Corporation,RRC,12/14/2022,12/30/2022,12/15/2022,0.08,0.32,12/01/2022
"RCI Hospitality Holdings, Inc.",RICK,12/14/2022,12/29/2022,12/15/2022,0.05,0.2,12/01/2022
"Red Rock Resorts, Inc.",RRR,12/14/2022,12/30/2022,12/15/2022,0.25,1.0,10/27/2022
RenaissanceRe Holdings Ltd.,RNR,12/14/2022,12/30/2022,12/15/2022,0.37,1.48,11/09/2022
Retail Opportunity Investments Corp.,ROIC,12/14/2022,12/29/2022,12/15/2022,0.15,0.6,10/25/2022
RiverNorth Capital and Income Fund,RSF,12/14/2022,12/30/2022,12/15/2022,0.166,1.994,10/03/2022
"RiverNorth Opportunities Fund, Inc.",RIV,12/14/2022,12/30/2022,12/15/2022,0.17,2.04,10/03/2022
"RiverNorth Managed Duration Municipal Income Fund, Inc.",RMM,12/14/2022,12/30/2022,12/15/2022,0.093,1.115,10/03/2022
"RiverNorth Flexible Municipal Income Fund II, Inc.",RFMZ,12/14/2022,12/30/2022,12/15/2022,0.093,1.114,10/03/2022
"RiverNorth Managed Duration Municipal Income Fund II, Inc.",RMMZ,12/14/2022,12/30/2022,12/15/2022,0.104,1.042,10/03/2022
"RiverNorth Opportunistic Municipal Income Fund, Inc.",RMI,12/14/2022,12/30/2022,12/15/2022,0.104,1.248,10/03/2022
"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",OPP,12/14/2022,12/30/2022,12/15/2022,0.148,1.774,10/03/2022
Sabine Royalty Trust,SBR,12/14/2022,12/29/2022,12/15/2022,1.068,12.814,12/05/2022
Saratoga Investment Corp,SAR,12/14/2022,01/04/2023,12/15/2022,0.68,2.72,11/15/2022
Seacoast Banking Corporation of Florida,SBCF,12/14/2022,12/30/2022,12/15/2022,0.17,0.68,10/18/2022
Service Corporation International,SCI,12/14/2022,12/30/2022,12/15/2022,0.27,1.08,11/02/2022
Shaw Communications Inc.,SJR,12/14/2022,12/28/2022,12/15/2022,0.074,0.883,07/27/2022
Simmons First National Corporation,SFNC,12/14/2022,01/03/2023,12/15/2022,0.19,0.76,10/20/2022
"Sixth Street Specialty Lending, Inc.",TSLX,12/14/2022,12/30/2022,12/15/2022,0.45,1.8,11/01/2022
"Sonic Automotive, Inc.",SAH,12/14/2022,01/13/2023,12/15/2022,0.28,1.12,10/27/2022
"Stellar Bancorp, Inc.",STEL,12/14/2022,12/30/2022,12/15/2022,0.13,0.52,11/18/2022
Stewart Information Services Corporation,STC,12/14/2022,12/30/2022,12/15/2022,0.45,1.8,12/01/2022
"Sturm, Ruger & Company, Inc.",RGR,12/14/2022,01/05/2023,12/15/2022,5.0,1.64,11/30/2022
"Summit Financial Group, Inc.",SMMF,12/14/2022,12/30/2022,12/15/2022,0.2,0.8,11/17/2022
Synovus Financial Corp.,SNV,12/14/2022,01/03/2023,12/15/2022,0.34,1.36,12/01/2022
Teck Resources Ltd,TECK,12/14/2022,12/30/2022,12/15/2022,0.093,0.373,11/16/2022
"Telephone and Data Systems, Inc.",TDS,12/14/2022,12/30/2022,12/15/2022,0.18,0.72,11/18/2022
Thermo Fisher Scientific Inc,TMO,12/14/2022,01/16/2023,12/15/2022,0.3,1.2,11/10/2022
Travel   Leisure Co.,TNL,12/14/2022,12/30/2022,12/15/2022,0.4,1.6,11/16/2022
UGI Corporation,UGI,12/14/2022,01/01/2023,12/15/2022,0.36,1.44,11/17/2022
Urban Edge Properties,UE,12/14/2022,12/30/2022,12/15/2022,0.16,0.64,11/02/2022
"United Community Banks, Inc.",UCBI,12/14/2022,01/05/2023,12/15/2022,0.22,0.88,11/10/2022
Valley National Bancorp,VLY,12/14/2022,01/03/2023,12/15/2022,0.11,0.44,11/14/2022
"Verisk Analytics, Inc.",VRSK,12/14/2022,12/30/2022,12/15/2022,0.31,1.24,11/01/2022
"World Wrestling Entertainment, Inc.",WWE,12/14/2022,12/27/2022,12/15/2022,0.12,0.48,10/27/2022
"Worthington Industries, Inc.",WOR,12/14/2022,12/29/2022,12/15/2022,0.31,1.24,09/28/2022
XAI Octagon Floating Rate & Alternative Income Term Trust,XFLT,12/14/2022,12/30/2022,12/15/2022,0.073,0.876,12/01/2022
Advance Auto Parts Inc.,AAP,12/15/2022,01/03/2023,12/16/2022,1.5,6.0,11/07/2022
Air Lease Corporation,AL,12/15/2022,01/10/2023,12/16/2022,0.2,0.8,11/03/2022
Albemarle Corporation,ALB,12/15/2022,01/03/2023,12/16/2022,0.395,1.58,10/24/2022
Allegion plc,ALLE,12/15/2022,12/30/2022,12/16/2022,0.41,1.64,12/01/2022
"Alpine Summit Energy Partners, Inc.",ALPS,12/15/2022,12/30/2022,12/16/2022,0.03,0.36,12/01/2022
Altra Industrial Motion Corp.,AIMC,12/15/2022,01/03/2023,12/16/2022,0.09,0.36,11/02/2022
American Century Short Duration Strategic Income ETF,SDSI,12/15/2022,12/20/2022,12/16/2022,0.238,0.498,12/14/2022
Angel Oak Financial Strategies Income Term Trust,FINS,12/15/2022,12/30/2022,12/16/2022,0.095,1.248,12/01/2022
Ares Management Corporation,ARES,12/15/2022,12/30/2022,12/16/2022,0.61,2.44,10/27/2022
Avient Corporation,AVNT,12/15/2022,01/06/2023,12/16/2022,0.248,0.99,10/13/2022
BayCom Corp,BCML,12/15/2022,01/13/2023,12/16/2022,0.05,0.2,11/16/2022
BlackRock Capital Allocation Trust,BCAT,12/15/2022,12/30/2022,12/16/2022,0.104,1.249,12/06/2022
BlackRock Capital Investment Corporation,BKCC,12/15/2022,01/06/2023,12/16/2022,0.1,0.4,11/03/2022
BlackRock Long-Term Municipal Advantage Trust,BTA,12/15/2022,12/30/2022,12/16/2022,0.056,0.621,12/06/2022
"BlackRock Municipal Income Fund, Inc.",MUI,12/15/2022,12/30/2022,12/16/2022,0.035,0.606,12/06/2022
BlackRock Virginia Municipal Bond Trust,BHV,12/15/2022,12/30/2022,12/16/2022,0.03,0.354,12/06/2022
BlackRock California Municipal Income Trust,BFZ,12/15/2022,12/30/2022,12/16/2022,0.036,0.489,12/06/2022
BlackRock Energy and Resources Trust,BGR,12/15/2022,12/30/2022,12/16/2022,0.058,0.578,12/06/2022
Blackrock Global,BOE,12/15/2022,12/30/2022,12/16/2022,0.063,0.756,12/06/2022
Blackrock Capital and Income Strategies Fund Inc,CII,12/15/2022,12/30/2022,12/16/2022,1.006,2.1,12/06/2022
Blackrock Enhanced Equity Dividend Trust,BDJ,12/15/2022,12/30/2022,12/16/2022,0.492,1.097,10/03/2022
"BLACKROCK INTERNATIONAL, LTD.",BGY,12/15/2022,12/30/2022,12/16/2022,0.034,0.406,12/06/2022
BlackRock ESG Capital Allocation Trust,ECAT,12/15/2022,12/30/2022,12/16/2022,0.1,1.2,12/06/2022
BlackRock Health Sciences Trust II,BMEZ,12/15/2022,12/30/2022,12/16/2022,0.145,1.74,10/03/2022
Blackrock Health Sciences Trust,BME,12/15/2022,12/30/2022,12/16/2022,0.213,2.556,12/06/2022
BlackRock Innovation and Growth Trust,BIGZ,12/15/2022,12/30/2022,12/16/2022,0.07,0.84,12/06/2022
BlackRock Municipal Target Term Trust Inc. (The),BTT,12/15/2022,12/30/2022,12/16/2022,0.06,0.743,12/06/2022
Blackrock Municipal Income Quality Trust,BYM,12/15/2022,12/30/2022,12/16/2022,0.038,0.652,12/06/2022
BlackRock Municipal Income Trust,BFK,12/15/2022,12/30/2022,12/16/2022,0.036,0.588,12/06/2022
BlackRock Municipal Income Trust II,BLE,12/15/2022,12/30/2022,12/16/2022,0.039,0.609,12/06/2022
"Blackrock MuniHoldings Quality Fund II, Inc.",MUE,12/15/2022,12/30/2022,12/16/2022,0.034,0.589,12/06/2022
"Blackrock MuniHoldings Fund, Inc.",MHD,12/15/2022,12/30/2022,12/16/2022,0.044,0.681,12/06/2022
BlackRock New York Investment Quality Municipal Trust Inc. (The),BNY,12/15/2022,12/30/2022,12/16/2022,0.038,0.551,12/06/2022
BlackRock Resources,BCX,12/15/2022,12/30/2022,12/16/2022,0.052,0.55,12/06/2022
BlackRock Science and Technology Trust,BST,12/15/2022,12/30/2022,12/16/2022,0.25,3.0,12/06/2022
BlackRock Science and Technology Trust II,BSTZ,12/15/2022,12/30/2022,12/16/2022,0.192,2.304,12/06/2022
"BlackRock Utility, Infrastructure & Power Opportun",BUI,12/15/2022,12/30/2022,12/16/2022,0.121,1.452,12/06/2022
BrightSphere Investment Group Inc.,BSIG,12/15/2022,12/30/2022,12/16/2022,0.01,0.04,11/03/2022
Camden Property Trust,CPT,12/15/2022,01/17/2023,12/16/2022,0.94,3.76,12/01/2022
Canadian Natural Resources Limited,CNQ,12/15/2022,01/05/2023,12/16/2022,0.634,2.534,11/03/2022
Chubb Limited,CB,12/15/2022,01/06/2023,12/16/2022,0.83,3.32,11/17/2022
Cincinnati Financial Corporation,CINF,12/15/2022,01/13/2023,12/16/2022,0.69,2.76,11/18/2022
"Citizens Financial Services, Inc.",CZFS,12/15/2022,12/30/2022,12/16/2022,0.48,1.92,12/06/2022
Citizens Holding Company,CIZN,12/15/2022,12/30/2022,12/16/2022,0.24,0.96,11/28/2022
Corebridge Financial Inc.,CRBG,12/15/2022,12/30/2022,12/16/2022,0.23,0.92,11/08/2022
"Crown Crafts, Inc.",CRWS,12/15/2022,01/06/2023,12/16/2022,0.08,0.32,11/16/2022
"CSG Systems International, Inc.",CSGS,12/15/2022,12/29/2022,12/16/2022,0.265,1.06,11/29/2022
Dole plc,DOLE,12/15/2022,01/06/2023,12/16/2022,0.08,0.32,11/16/2022
Eagle Materials Inc,EXP,12/15/2022,01/12/2023,12/16/2022,0.25,1.0,11/08/2022
Enersys,ENS,12/15/2022,12/30/2022,12/16/2022,0.175,0.7,11/09/2022
"ESSA Bancorp, Inc.",ESSA,12/15/2022,12/30/2022,12/16/2022,0.15,0.6,11/17/2022
Eversource Energy,ES,12/15/2022,12/30/2022,12/16/2022,0.637,2.55,12/06/2022
Ferguson plc,FERG,12/15/2022,02/03/2023,12/16/2022,0.75,3.5,12/06/2022
"Financial Institutions, Inc.",FISI,12/15/2022,01/03/2023,12/16/2022,0.29,1.16,11/21/2022
"First Capital, Inc.",FCAP,12/15/2022,12/30/2022,12/16/2022,0.26,1.04,11/22/2022
First Horizon Corporation,FHN,12/15/2022,01/03/2023,12/16/2022,0.15,0.6,10/25/2022
"First Savings Financial Group, Inc.",FSFG,12/15/2022,12/30/2022,12/16/2022,0.13,0.52,11/30/2022
"Fidelity National Financial, Inc.",FNF,12/15/2022,12/30/2022,12/16/2022,0.45,1.8,11/03/2022
First Trust Alternative Absolute Return Strategy ETF,FAAR,12/15/2022,12/30/2022,12/16/2022,1.736,3.6,12/14/2022
First Trust Global Tactical Commodity Strategy Fund,FTGC,12/15/2022,12/30/2022,12/16/2022,2.528,4.197,12/14/2022
First Trust SSI Strategic Convertible Securities ETF,FCVT,12/15/2022,12/30/2022,12/16/2022,0.045,1.325,12/14/2022
Global Payments Inc.,GPN,12/15/2022,12/30/2022,12/16/2022,0.25,1.0,10/31/2022
"Greif, Inc.",GEF.B,12/15/2022,01/01/2023,12/16/2022,0.74,2.96,12/06/2022
"Greif, Inc.",GEF,12/15/2022,01/01/2023,12/16/2022,0.5,2.0,12/06/2022
Hillenbrand Inc,HI,12/15/2022,12/30/2022,12/16/2022,0.22,0.88,12/07/2022
Highland/iBoxx Senior Loan ETF,SNLN,12/15/2022,12/30/2022,12/16/2022,0.118,0.712,12/14/2022
Hooker Furnishings Corporation,HOFT,12/15/2022,12/30/2022,12/16/2022,0.22,0.88,12/06/2022
"Investcorp Credit Management BDC, Inc.",ICMB,12/15/2022,01/10/2023,12/16/2022,0.15,0.52,11/11/2022
iShares GNMA Bond ETF,GNMA,12/15/2022,12/21/2022,12/16/2022,0.09,0.86,12/09/2021
iShares 0-5 Year Investment Grade Corporate Bond ETF,SLQD,12/15/2022,12/21/2022,12/16/2022,0.114,0.955,12/14/2022
iShares 1-3 Year Treasury Bond ETF,SHY,12/15/2022,12/21/2022,12/16/2022,0.181,1.056,12/14/2022
iShares 1-5 Year Investment Grade Corporate Bond ETF,IGSB,12/15/2022,12/21/2022,12/16/2022,0.118,1.032,12/14/2022
iShares 20+ Year Treasury Bond ETF,TLT,12/15/2022,12/21/2022,12/16/2022,0.261,2.656,12/14/2022
iShares 3-7 Year Treasury Bond ETF,IEI,12/15/2022,12/21/2022,12/16/2022,0.192,1.577,12/14/2022
iShares 7-10 Year Treasury Bond ETF,IEF,12/15/2022,12/21/2022,12/16/2022,0.192,1.879,12/14/2022
iShares Core Total USD Bond Market ETF,IUSB,12/15/2022,12/21/2022,12/16/2022,0.117,1.135,12/14/2022
iShares Core 1-5 Year USD Bond ETF,ISTB,12/15/2022,12/21/2022,12/16/2022,0.099,0.935,12/14/2022
iShares USD Green Bond ETF,BGRN,12/15/2022,12/21/2022,12/16/2022,0.134,1.225,12/14/2022
iShares International Treasury Bond ETF,IGOV,12/15/2022,12/21/2022,12/16/2022,0.042,0.042,12/14/2022
iShares J.P. Morgan USD Emerging Markets Bond ETF,EMB,12/15/2022,12/21/2022,12/16/2022,0.34,4.261,12/09/2021
iShares MBS ETF,MBB,12/15/2022,12/21/2022,12/16/2022,0.241,2.143,12/14/2022
iShares Preferred and Income Securities ETF,PFF,12/15/2022,12/21/2022,12/16/2022,0.237,1.835,12/14/2022
iShares Short Treasury Bond ETF,SHV,12/15/2022,12/21/2022,12/16/2022,0.313,1.524,12/14/2022
iShares ESG Aware 1-5 Year USD Corporate Bond ETF,SUSB,12/15/2022,12/21/2022,12/16/2022,0.047,0.414,12/14/2022
iShares ESG Aware USD Corporate Bond ETF,SUSC,12/15/2022,12/21/2022,12/16/2022,0.063,0.662,12/14/2022
iShares iBonds Dec 2032 Term Treasury ETF,IBTM,12/15/2022,12/21/2022,12/16/2022,0.077,0.318,N/A
iShares iBonds Dec 2023 Term Treasury ETF,IBTD,12/15/2022,12/21/2022,12/16/2022,0.087,0.419,12/14/2022
iShares iBonds Dec 2024 Term Treasury ETF,IBTE,12/15/2022,12/21/2022,12/16/2022,0.08,0.467,12/14/2022
iShares iBonds Dec 2025 Term Treasury ETF,IBTF,12/15/2022,12/21/2022,12/16/2022,0.087,0.45,12/14/2022
iShares iBonds Dec 2026 Term Treasury ETF,IBTG,12/15/2022,12/21/2022,12/16/2022,0.058,0.468,12/14/2022
iShares iBonds Dec 2027 Term Treasury ETF,IBTH,12/15/2022,12/21/2022,12/16/2022,0.076,0.444,12/14/2022
iShares iBonds Dec 2028 Term Treasury ETF,IBTI,12/15/2022,12/21/2022,12/16/2022,0.048,0.374,12/14/2022
iShares iBonds Dec 2029 Term Treasury ETF,IBTJ,12/15/2022,12/21/2022,12/16/2022,0.059,0.401,12/14/2022
iShares iBonds Dec 2030 Term Treasury ETF,IBTK,12/15/2022,12/21/2022,12/16/2022,0.038,0.444,12/14/2022
iShares iBonds Dec 2031 Term Treasury ETF,IBTL,12/15/2022,12/21/2022,12/16/2022,0.039,0.482,12/14/2022
iShares ESG Advanced High Yield Corporate Bond ETF,HYXF,12/15/2022,12/21/2022,12/16/2022,0.219,2.322,12/14/2022
iShares Fallen Angels USD Bond ETF,FALN,12/15/2022,12/21/2022,12/16/2022,0.106,1.25,12/14/2022
iShares USD Bond Factor ETF,USBF,12/15/2022,12/21/2022,12/16/2022,0.264,2.356,12/14/2022
iShares 5-10 Year Investment Grade Corporate Bond ETF,IGIB,12/15/2022,12/21/2022,12/16/2022,0.137,1.504,12/14/2022
iShares Broad USD Investment Grade Corporate Bond ETF,USIG,12/15/2022,12/21/2022,12/16/2022,0.152,1.543,12/14/2022
Madison Covered Call & Equity Strategy Fund,MCN,12/15/2022,12/29/2022,12/16/2022,0.18,0.72,12/01/2022
Methanex Corporation,MEOH,12/15/2022,12/31/2022,12/17/2022,0.175,0.7,11/17/2022
"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",EDD,12/15/2022,01/13/2023,12/16/2022,0.07,0.3,12/06/2022
Morgan Stanley China A Share Fund Inc.,CAF,12/15/2022,12/28/2022,12/16/2022,0.003,0.003,12/06/2022
New Mountain Finance Corporation,NMFC,12/15/2022,12/30/2022,12/16/2022,0.32,1.28,11/02/2022
Nuveen Global Net Zero Transition ETF,NTZG,12/15/2022,12/19/2022,12/16/2022,0.17,0.17,12/14/2022
Oxford Lane Capital Corp.,OXLC,12/15/2022,12/30/2022,12/16/2022,0.075,0.9,08/02/2022
Oxford Square Capital Corp.,OXSQ,12/15/2022,12/30/2022,12/16/2022,0.035,0.42,07/26/2022
PACCAR Inc.,PCAR,12/15/2022,01/05/2023,12/16/2022,2.8,1.48,12/06/2022
"QCR Holdings, Inc.",QCRH,12/15/2022,01/05/2023,12/16/2022,0.06,0.24,11/03/2022
Rayonier Inc.,RYN,12/15/2022,12/30/2022,12/16/2022,0.285,1.14,10/21/2022
Regency Centers Corporation,REG,12/15/2022,01/04/2023,12/16/2022,0.65,2.6,11/02/2022
Renasant Corporation,RNST,12/15/2022,01/01/2023,12/16/2022,0.22,0.88,11/16/2022
"Republic Bancorp, Inc.",RBCAA,12/15/2022,01/20/2023,12/16/2022,0.341,1.364,11/16/2022
"Source Capital, Inc.",SOR,12/15/2022,12/29/2022,12/16/2022,0.185,2.22,11/14/2022
Stellus Capital Investment Corporation,SCM,12/15/2022,12/29/2022,12/16/2022,0.113,1.12,10/04/2022
"Steven Madden, Ltd.",SHOO,12/15/2022,12/30/2022,12/16/2022,0.21,0.84,11/02/2022
"T. Rowe Price Group, Inc.",TROW,12/15/2022,12/29/2022,12/16/2022,1.2,4.8,11/01/2022
Taiwan Semiconductor Manufacturing Company Ltd.,TSM,12/15/2022,01/12/2023,12/16/2022,0.357,1.426,08/09/2022
Tredegar Corporation,TG,12/15/2022,01/01/2023,12/16/2022,0.13,0.52,11/15/2022
"Turning Point Brands, Inc.",TPB,12/15/2022,01/06/2023,12/16/2022,0.06,0.24,11/02/2022
Uniti Group Inc.,UNIT,12/15/2022,12/30/2022,12/16/2022,0.15,0.6,11/01/2022
"Unity Bancorp, Inc.",UNTY,12/15/2022,12/30/2022,12/16/2022,0.11,0.44,11/17/2022
Universal Display Corporation,OLED,12/15/2022,12/30/2022,12/16/2022,0.3,1.2,11/03/2022
Universal Health Realty Income Trust,UHT,12/15/2022,12/30/2022,12/16/2022,0.715,2.86,11/30/2022
"Utah Medical Products, Inc.",UTMD,12/15/2022,01/04/2023,12/16/2022,0.295,1.18,11/01/2022
Vanguard Russell 1000 ETF,VONE,12/15/2022,12/20/2022,12/16/2022,0.733,2.763,12/13/2022
Vanguard Russell 1000 Growth ETF,VONG,12/15/2022,12/20/2022,12/16/2022,0.146,0.54,12/13/2022
Vanguard Russell 1000 Value ETF,VONV,12/15/2022,12/20/2022,12/16/2022,0.425,1.48,12/13/2022
Vanguard Russell 2000 ETF,VTWO,12/15/2022,12/20/2022,12/16/2022,0.415,1.041,12/13/2022
Vanguard Russell 2000 Growth ETF,VTWG,12/15/2022,12/20/2022,12/16/2022,0.507,1.102,12/13/2022
Vanguard Russell 2000 Value ETF,VTWV,12/15/2022,12/20/2022,12/16/2022,1.021,2.517,12/13/2022
Vanguard Russell 3000 ETF,VTHR,12/15/2022,12/20/2022,12/16/2022,0.791,2.615,12/13/2022
Visa Inc.,V,12/15/2022,01/03/2023,12/16/2022,0.395,1.58,N/A
"Ares Dynamic Credit Allocation Fund, Inc.",ARDC,12/16/2022,12/30/2022,12/19/2022,0.102,1.195,12/09/2022
W.R. Berkley Corporation,WRB,12/16/2022,12/28/2022,12/19/2022,0.1,0.4,12/09/2022
"BNY Mellon Municipal Bond Infrastructure Fund, Inc",DMB,12/16/2022,01/03/2023,12/19/2022,0.04,0.61,12/02/2022
Boyd Gaming Corporation,BYD,12/16/2022,01/15/2023,12/19/2022,0.15,0.6,12/08/2022
"Douglas Dynamics, Inc.",PLOW,12/16/2022,12/30/2022,12/19/2022,0.29,1.16,12/06/2022
"DT Midstream, Inc.",DTM,12/16/2022,01/15/2023,12/19/2022,0.64,2.56,12/05/2022
DTE Energy Company,DTE,12/16/2022,01/15/2023,12/19/2022,0.952,3.81,11/10/2022
"Empire State Realty Trust, Inc.",ESRT,12/16/2022,12/30/2022,12/19/2022,0.035,0.14,12/09/2022
Fidelity Metaverse ETF,FMET,12/16/2022,12/21/2022,12/19/2022,0.015,0.037,12/15/2022
Fidelity Nasdaq Composite Index ETF,ONEQ,12/16/2022,12/21/2022,12/19/2022,0.139,0.399,12/15/2022
FlexShares Credit-Scored US Corporate Bond Index Fund,SKOR,12/16/2022,12/22/2022,12/19/2022,0.125,1.19,12/15/2022
Franklin Universal Trust,FT,12/16/2022,12/30/2022,12/19/2022,0.104,0.653,12/07/2022
Hess Corporation,HES,12/16/2022,12/29/2022,12/19/2022,0.375,1.5,12/07/2022
Horizon Technology Finance Corporation,HRZN,12/16/2022,01/13/2023,12/19/2022,0.11,1.32,10/28/2022
"Hudson Pacific Properties, Inc.",HPP,12/16/2022,12/29/2022,12/19/2022,0.25,1.0,12/09/2022
Huntington Bancshares Incorporated,HBAN,12/16/2022,01/03/2023,12/19/2022,0.155,0.62,10/21/2022
Invesco Senior Income Trust,VVR,12/16/2022,12/30/2022,12/19/2022,0.124,0.315,N/A
IQ Global Equity R&D Leaders ETF,WRND,12/16/2022,12/22/2022,12/19/2022,0.112,0.411,12/15/2022
IQ U.S. Large Cap R&D Leaders ETF,LRND,12/16/2022,12/22/2022,12/19/2022,0.076,0.264,12/15/2022
IQ U.S. Mid Cap R&D Leaders ETF,MRND,12/16/2022,12/22/2022,12/19/2022,0.041,0.145,12/15/2022
J & J Snack Foods Corp.,JJSF,12/16/2022,01/10/2023,12/19/2022,0.7,2.8,11/10/2022
John Bean Technologies Corporation,JBT,12/16/2022,01/02/2023,12/19/2022,0.1,0.4,12/07/2022
Johnson Controls International plc,JCI,12/16/2022,01/13/2023,12/19/2022,0.35,1.4,12/07/2022
Lamar Advertising Company,LAMR,12/16/2022,12/30/2022,12/19/2022,1.5,4.8,12/08/2022
MidCap Financial Investment Corporation,MFIC,12/16/2022,01/05/2023,12/19/2022,0.37,1.48,11/03/2022
"Omega Flex, Inc.",OFLX,12/16/2022,01/04/2023,12/19/2022,0.32,1.28,12/07/2022
Packaging Corporation of America,PKG,12/16/2022,01/13/2023,12/19/2022,1.25,5.0,12/08/2022
"PDC Energy, Inc.",PDCE,12/16/2022,12/28/2022,12/19/2022,1.0,1.4,12/07/2022
"Presidio Property Trust, Inc.",SQFT,12/16/2022,12/30/2022,12/19/2022,0.021,0.084,12/07/2022
"Prologis, Inc.",PLD,12/16/2022,12/30/2022,12/19/2022,0.79,3.16,12/07/2022
Quanex Building Products Corporation,NX,12/16/2022,12/30/2022,12/19/2022,0.08,0.32,12/09/2022
Rand Capital Corporation,RAND,12/16/2022,12/30/2022,12/19/2022,0.38,0.8,12/06/2022
SEI Investments Company,SEIC,12/16/2022,01/05/2023,12/19/2022,0.43,0.86,12/05/2022
"South Jersey Industries, Inc.",SJI,12/16/2022,12/27/2022,12/19/2022,0.31,1.24,11/23/2022
"Stock Yards Bancorp, Inc.",SYBT,12/16/2022,12/30/2022,12/19/2022,0.29,1.16,11/16/2022
Tekla Healthcare Opportunies Fund,THQ,12/16/2022,12/30/2022,12/19/2022,0.112,1.35,12/09/2022
Tekla World Healthcare Fund,THW,12/16/2022,12/30/2022,12/19/2022,0.117,1.4,12/09/2022
Templeton Emerging Markets Fund,EMF,12/16/2022,12/30/2022,12/19/2022,1.129,1.129,12/07/2022
"Templeton Global Income Fund, Inc.",GIM,12/16/2022,12/30/2022,12/19/2022,0.03,0.396,12/07/2022
Territorial Bancorp Inc.,TBNK,12/16/2022,12/29/2022,12/19/2022,0.1,0.92,N/A
"Templeton Emerging Markets Income Fund, Inc.",TEI,12/16/2022,12/30/2022,12/19/2022,0.044,0.652,12/07/2022
U-Haul Holding Company,UHAL.B,12/16/2022,12/30/2022,12/19/2022,0.04,0.16,12/08/2022
Union Pacific Corporation,UNP,12/16/2022,12/29/2022,12/19/2022,1.3,5.2,12/09/2022
US Treasury 3 Month Bill ETF,TBIL,12/16/2022,12/20/2022,12/19/2022,0.085,0.462,12/15/2022
Utz Brands Inc ,UTZ,12/16/2022,01/05/2023,12/19/2022,0.057,0.228,12/08/2022
VictoryShares ESG Core Plus Bond ETF,UBND,12/16/2022,12/20/2022,12/19/2022,0.151,0.693,12/15/2022
VictoryShares ESG Corporate Bond ETF,UCRD,12/16/2022,12/20/2022,12/19/2022,0.114,0.548,12/15/2022
VictoryShares Dividend Accelerator ETF,VSDA,12/16/2022,12/20/2022,12/19/2022,0.168,0.819,12/15/2022
VictoryShares Developed Enhanced Volatility Wtd ETF,CIZ,12/16/2022,12/20/2022,12/19/2022,0.09,0.589,12/15/2022
VictoryShares International High Div Volatility Wtd ETF,CID,12/16/2022,12/20/2022,12/19/2022,0.191,1.67,12/15/2022
VictoryShares International Volatility Wtd ETF,CIL,12/16/2022,12/20/2022,12/19/2022,0.012,0.889,12/15/2022
VictoryShares US Multi-Factor Minimum Volatility ETF,VSMV,12/16/2022,12/20/2022,12/19/2022,0.141,0.758,12/15/2022
VictoryShares Nasdaq Next 50 ETF,QQQN,12/16/2022,12/20/2022,12/19/2022,0.054,0.217,12/15/2022
VictoryShares US 500 Enhanced Volatility Wtd ETF,CFO,12/16/2022,12/20/2022,12/19/2022,0.341,2.526,12/15/2022
VictoryShares US 500 Volatility Wtd ETF,CFA,12/16/2022,12/20/2022,12/19/2022,0.238,1.079,12/15/2022
